Issue Type,Summary,Project,Priority,Labels,Parent,Description
Task,Implement OAuth 2.0 login via Google Accounts,X1,Highest,backend auth security,X1-176,Implement OAuth 2.0 login via Google Accounts. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Issue JWT access and refresh tokens with role claims,X1,Highest,backend auth security,X1-176,Issue JWT access and refresh tokens with role claims. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Add token refresh endpoint with rotation and revocation list,X1,Medium,backend auth security,X1-176,Add token refresh endpoint with rotation and revocation list. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Build RBAC middleware for route-level role enforcement,X1,Highest,backend auth security,X1-176,Build RBAC middleware for route-level role enforcement. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Implement session termination and logout audit logging,X1,Medium,backend auth security,X1-176,Implement session termination and logout audit logging. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Add admin endpoint to assign roles to users,X1,Medium,backend auth security,X1-176,Add admin endpoint to assign roles to users. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Implement brute-force login detection and cooldown,X1,Medium,backend auth security,X1-176,Implement brute-force login detection and cooldown. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Add CSRF protection for cookie-based token delivery,X1,Highest,backend auth security,X1-176,Add CSRF protection for cookie-based token delivery. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Create “whoami” endpoint returning sanitized profile,X1,Medium,backend auth security,X1-176,Create “whoami” endpoint returning sanitized profile. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Write auth rate limits and error response contract,X1,High,backend auth security,X1-176,Write auth rate limits and error response contract. Provide secure authentication and authorization with auditable events. Protect routes and sessions. Add telemetry and tests.
Task,Create `roles` table with seed roles Manager/Cashier/Barista,X1,Medium,database backend migrations,X1-177,Create `roles` table with seed roles Manager/Cashier/Barista. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document contracts and include acceptance tests.
Task,Create `users` table with unique username and role FK,X1,Medium,database backend migrations,X1-177,Create `users` table with unique username and role FK. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document contracts and include acceptance tests.
Task,Create `customers` table with optional loyalty fields,X1,Medium,database backend migrations,X1-177,Create `customers` table with optional loyalty fields. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document contracts and include acceptance tests.
