Project Key,Issue Type,Summary,Description,Epic Link,Sprint,Priority,Labels
X1,Story,Create AWS EC2 instance and configure Node.js runtime,Provision EC2; install Node.js LTS; SSH hardening; create service user; enable ufw.,X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Configure PostgreSQL on AWS RDS,Create RDS instance; set parameter group; create app DB and user; restrict CIDRs.,X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,.env and environment variable management,Define server and client .env templates; load via dotenv; document secrets handling.,X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,AWS security groups and ports,"Open ports 80/443 for web, 22 for bastion, 5432 for RDS from app only.",X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,GitHub Actions CI/CD for deploy,"Build React, backend deploy to EC2; cache deps; environment secrets.",X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,E2E deployment smoke test,Verify React → Node → PostgreSQL round-trip with health endpoint and DB ping.,X1-176,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Initialize Node.js + Express server,Scaffold Express app with TypeScript or JS; nodemon; lint; prettier.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,PostgreSQL connection via pg,Create pooled client; retry/backoff; health check route.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,CORS and error middleware,Whitelist frontend origin; standardized error handler; logging.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,"REST routes: /users, /menu, /orders (GET baseline)",Return sample data from DB; paginated list endpoints.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,REST routes: /orders (POST),Accept minimal order payload; validate; insert order and items in txn.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Postman/Insomnia collection,Define requests for all routes; envs for local and prod.,X1-177,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Initialize React app,Create project with Vite; ESLint; Prettier; folder structure; env config.,X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Client routing setup,"React Router routes: /login, /manager, /cashier, /customer, /menu-board, /kitchen.",X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Global layout and navigation,"Header, sidebar, footer; role-aware nav; responsive grid.",X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,HTTP client setup,Axios instance; interceptors; baseURL from env; error UI.,X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Error boundary and loading UI,Fallback components; skeleton loaders; not-found route.,X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Base theme and tokens,"CSS variables for spacing, typography, color palette.",X1-178,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Integrate Google OAuth2 (backend),passport-google-oauth20 or Firebase Auth; OAuth callback; token exchange.,X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,OAuth callback route /auth/google/callback,Handle provider response; map to local user; issue JWT.,X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,User mapping to DB,"On first login, map Google account to existing users table; reject unknown roles.",X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,JWT session middleware,"Sign, verify, and refresh tokens; secure cookies in prod.",X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Login page with Google button,UI for login; redirect per role on success.,X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Role-based access guards,Frontend route guards and backend authorization middleware.,X1-179,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Migrate Project 2 schema to AWS,Port schema; adjust for web; verify FKs and indexes.,X1-180,Sprint 1,Medium,"sprint1,mvp"
X1,Story,init_schema.sql migration script,Idempotent DDL; managed via npm run migrate.,X1-180,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Seed baseline data,"Roles, users, menu items, sample inventory; secure default passwords if any.",X1-180,Sprint 1,Medium,"sprint1,mvp"
X1,Story,CRUD verification via API,Run create/read/update/delete cases for core tables.,X1-180,Sprint 1,Medium,"sprint1,mvp"
X1,Story,DB credential handling,Use env vars and IAM where possible; rotate secrets.,X1-180,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Customer menu page (read-only),Fetch menu from /menu; grid of items with price and category filters.,X1-181,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Cart state management,Add to cart; adjust qty; compute subtotal; tax placeholder.,X1-181,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Submit order to backend,POST /orders with items; handle server response; show order number.,X1-181,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Order confirmation screen,Display order id and summary; guidance for pickup.,X1-181,Sprint 1,Medium,"sprint1,mvp"
X1,Story,Google Translate integration (Spanish),Add translate widget toggle for customer view; document limitation.,X1-181,Sprint 1,Medium,"sprint1,mvp"
