Issue Type,Summary,Project,Priority,Labels,Epic Name,Epic Link,Description
Epic,Authentication & Roles,X1,High,backend auth security,EPIC-AUTH,,"All authentication, authorization, and session security for the Sharetea SaaS. Includes OAuth 2.0, JWT, RBAC, and auditability. Define success metrics and exit criteria."
Epic,Database and Migrations,X1,High,database backend migrations,EPIC-DB,,"Relational schema, migrations, constraints, and seed data powering the POS. Optimized for integrity and performance. Define success metrics and exit criteria."
Epic,ORM / Data Access Layer,X1,High,backend dal orm database,EPIC-DAL,,"Typed data access using an ORM/repository pattern. Enforces validation, pagination, and data contracts. Define success metrics and exit criteria."
Epic,Menu Service Backend,X1,High,backend menu api,EPIC-MENU,,"Menu, categories, toppings, allergens, and availability. CRUD and cache invalidation for pricing and presentation. Define success metrics and exit criteria."
Epic,Inventory Service Backend,X1,High,backend inventory api,EPIC-INV,,"Inventory transactions and alerts. Usage, receiving, waste, and stock ledgers. Define success metrics and exit criteria."
Epic,Orders Service Backend,X1,High,backend orders api,EPIC-ORDERS,,"Order state machine and pricing. Item modifiers, totals, and lifecycle events. Define success metrics and exit criteria."
Epic,Payments Service Backend,X1,High,backend payments api security,EPIC-PAY,,"Payment capture, refunds, reconciliation, and provider webhooks with idempotency. Define success metrics and exit criteria."
Epic,Realtime / KDS,X1,High,backend realtime kds websocket,EPIC-REALTIME,,Event bus and WebSocket delivery for kitchen displays and live updates. Define success metrics and exit criteria.
Epic,Cashier POS Frontend,X1,High,frontend pos react,EPIC-POS,,"Web-based cashier UI for fast order entry, error handling, and cashier workflows. Define success metrics and exit criteria."
Epic,Customer Kiosk Frontend,X1,High,frontend kiosk react a11y,EPIC-KIOSK,,Self-service ordering with accessibility-first design and multilingual support. Define success metrics and exit criteria.
Epic,Manager Portal Frontend,X1,High,frontend manager react,EPIC-MANAGER,,"Administrative dashboards, menu/inventory management, and configuration. Define success metrics and exit criteria."
Epic,Menu Board Frontend,X1,High,frontend menuboard react,EPIC-MENUBOARD,,"Public display for pricing, availability (86), and promotions on TV screens. Define success metrics and exit criteria."
Epic,Analytics and Reports,X1,High,backend analytics reports,EPIC-ANALYTICS,,"Sales, inventory, and weather-correlated analytics with exports. Define success metrics and exit criteria."
Epic,DevOps and Security,X1,High,devops security ci,EPIC-OPS,,"Build, deploy, secrets, WAF, and observability pipelines for the stack. Define success metrics and exit criteria."
Epic,Accessibility and Usability,X1,High,a11y ux testing,EPIC-ACCESS,,"WCAG 2.1 AA audits, screen reader testing, and usability reporting. Define success metrics and exit criteria."
Task,Create `roles` table with seed roles Manager/Cashier/Barista,X1,Medium,database backend migrations,,EPIC-DB,"Create `roles` table with seed roles Manager/Cashier/Barista. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `users` table with unique username and role FK,X1,Medium,database backend migrations,,EPIC-DB,"Create `users` table with unique username and role FK. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
Task,Create `customers` table with optional loyalty fields,X1,Medium,database backend migrations,,EPIC-DB,"Create `customers` table with optional loyalty fields. Design and apply a normalized relational structure with constraints for integrity. Provide reversible migrations and seed fixtures. Document API contracts, add telemetry, and include acceptance tests."
